"question","source","source_url","why_include"
"Can law help solve the climate crisis?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Useful institutional prompt about courts, treaties, regulation, liability, and whether law can substitute for politics or technology."
"Is it possible to have a theory of interpretation, or is interpretation just something we do?","General 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/General%20Paper%202024.pdf","Meta-level but not empty; good for testing whether a respondent can formalize tacit judgment without flattening it."
"How should healthcare be funded?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Broad but genuinely important; can reveal views on insurance, rationing, public goods, markets, and moral priority."
"Is the loss of language diversity no less a tragedy than the loss of biological diversity?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Good analogy question that tests what kinds of diversity have intrinsic, option, and cultural value."
"If life is discovered beyond Earth, will that change anything on Earth?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Engaging worldview question with theology, anthropics, science funding, ethics, and civilizational self-conception."
"To what extent should social and economic rights be considered as human rights?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Forces clarity about positive rights, enforceability, scarcity, institutional duties, and moral language inflation."
"Is aid the process by which the poor in rich countries subsidize the rich in poor countries?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","A pointed development question that strong answers can complicate rather than merely accept or reject."
"Should older people be allowed to vote on issues that affect only younger people?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Good democratic-theory prompt about affected interests, competence, equal citizenship, and time horizons."
"Is financial restitution the best form of reparation?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Clear enough to produce disagreement about repair, symbolism, incentives, group claims, and institutional trust."
"Can an institution care?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","Excellent compact prompt for organizational behavior, incentives, agency, culture, and alignment analogies."
"How should we explain the notion of a biological species?","General 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/General%20Paper%202023.pdf","A deceptively concrete philosophy-of-science question about categories, clusters, evolution, and prediction."
"Is cooperation or competition the driving force guiding the evolution of society?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Big but answerable; good respondents can reject the binary and discuss selection levels, institutions, and repeated games."
"Should we attempt to preserve biodiversity?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Cleaner than many environmental prompts because it asks for the reason to preserve, not just the policy slogan."
"What determines if an animal product is ethical?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Practical moral question with disagreement about suffering, death, consent, naturalness, substitutes, and production systems."
"Is studying the history of economics more practically useful than studying the history of chemistry?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Good meta-science prompt about reflexive disciplines, error correction, and whether ideas change their objects."
"Do campaigners against inequality care too much about the richest and not enough about the poorest?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","High-signal question about status, poverty, envy, political coalitions, and what egalitarianism is for."
"Ought everyone to pursue the most morally valuable career possible for them?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Direct but worth keeping: it forces a serious answer about demandingness, identity, replaceability, and moral ambition."
"Should universities accept donations from oligarchs?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Clean institutional ethics prompt about laundering, counterfactual funding, complicity, and governance."
"Should prisons be abolished?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","High-stakes, cleanly stated, and forces practical alternatives rather than mere moral posture."
"Should genetic enhancement of intelligence be explored?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Strong disagreement within rationalist-adjacent camps about welfare, inequality, biosecurity, and human potential."
"Will eating animals be condemned by future generations?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Good moral-progress question that tests prediction, ethics, technology, and cultural path dependence."
"Should any new science be published behind paywalls?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Clean open-science question with real tradeoffs about incentives, access, review, and public goods."
"When is it justifiable for a government to instruct citizens to do something that they are not legally required to do?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Excellent COVID-era governance question about soft power, legitimacy, paternalism, and norms."
"Has Western society put too much faith in competition?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Good institutional question because it asks where competition works, where it Goodharts, and where cooperation dominates."
"Nature is replete with suffering. What follows?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Probably the strongest wild-animal-welfare prompt: simple, surprising, and not reducible to standard environmentalism."
"Should theorists care about the practical consequences of their theories, or just their truth?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Excellent epistemics question with live disagreement about info hazards, academic freedom, and consequentialism."
"Does Homo sapiens have responsibilities to other species?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","Cleaner moral-scope prompt than rights language; allows ecological, welfare, stewardship, and anti-speciesist answers."
"What, if any, limitations on immigration are defensible?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","One of the cleanest prompts for global welfare versus institutions, culture, consent, and state capacity."
"‘We live in a society exquisitely dependent on science and technology, in which hardly anyone knows anything about science and technology’ (CARL SAGAN). Does this matter?","General past papers 2019-2022","https://www.asc.ox.ac.uk/sites/default/files/inline-files/GeneralPastPapersUPDATED2022.pdf","A quote question that earns inclusion because the actual question is crisp and highly relevant to expertise and democracy."
"What role should intergenerational equity play in climate change policy?","Economics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Economics%202025.pdf","More rigorous version of many climate prompts; forces discounting, uncertainty, growth, and distributive ethics."
"Is rational inattention helpful in interpreting economic decisions?","Economics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Economics%202025.pdf","Good because it can change the frame from irrationality to costly cognition and bounded optimization."
"Are there goods or services that are better allocated by queuing than by pricing?","Economics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Economics%202025.pdf","Concrete mechanism-design prompt with disagreement about fairness, information, scalping, and hidden costs."
"Is competition policy unduly focussed on consumer welfare?","Economics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Economics%202025.pdf","Strong antitrust question about concentration, innovation, labor, politics, and measurable welfare."
"Are there advantages to using Bayesian statistical methods when conducting randomised control trials?","Economics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Economics%202025.pdf","Technical but philosophically revealing; good for priors, decision-making, evidence synthesis, and policy."
"Does democracy require a democratic culture?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Clean political-culture prompt with implications for institution-building and constitutional design."
"Is accountability ineffective in democratic politics?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Good because it asks whether the central feedback mechanism of democracy actually works."
"Is cryptocurrency a liberation technology?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Engaging and divisive without being merely topical; can test censorship resistance, scams, state capacity, and monetary sovereignty."
"Does justice require the public ownership of assets?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Clean bridge between political philosophy and institutional economics."
"Is the secularization thesis wrong?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Good long-run social-science prompt with evidence across modernity, fertility, identity, and institutions."
"Is the Schumpeterian notion of “creative destruction” a necessary flaw, an unnecessary flaw or a positive feature of the capitalist economic system?","Politics 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Politics%202025.pdf","Forces a real theory of progress, churn, welfare, compensation, and capitalism."
"Defend epistocracy?","Philosophy 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Philosophy%202025.pdf","Odd punctuation but strong prompt; directly pits expertise, equality, legitimacy, and decision quality."
"When should statistical evidence be admitted in criminal trials?","Philosophy 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Philosophy%202025.pdf","Excellent applied epistemology question with real consequences for proof, base rates, and individual justice."
"Is Effective Altruism dead? Should it be?","Philosophy 2025","https://www.asc.ox.ac.uk/sites/default/files/2025-10/Philosophy%202025.pdf","Directly relevant and unusually capable of eliciting disagreement between sympathetic critics, reformers, and opponents."
"Ought one always endeavour to maximise expected value?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","A core rationalist question with real internal disagreement about decision theory, fanaticism, bounded agents, and moral uncertainty."
"Can a group ever be responsible for a harm even though none of its members are?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","Good agency and responsibility prompt; useful for institutions, corporations, nations, and diffuse harms."
"Does the correction of historical injustices inevitably involve the creation of new injustices?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","Strong because it demands both moral seriousness and institutional realism."
"Are there incommensurable goods?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","Central to utilitarian and anti-utilitarian disagreement; short, clean, and hard to answer glibly."
"Are there persuasive arguments in favour of living a moral life?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","Good because it asks whether morality can justify itself to an agent, not just within a moral framework."
"Are any lives not worth living?","Philosophy 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Philospohy%202024.pdf","Difficult but important; forces clarity about welfare, disability, suffering, consent, and evaluation from inside versus outside."
"Does desert justify income inequalities?","Politics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Politics%202024.pdf","Clean distributive-justice prompt with strong disagreement about merit, luck, incentives, and social meaning."
"What non-rational factors, if any, shape foreign policy?","Politics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Politics%202024.pdf","Good because it asks how much policy is cognition, identity, emotion, bureaucracy, or signaling."
"Is ‘terrorism’ a useful analytical category for analysing political violence?","Politics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Politics%202024.pdf","Sharp category question with moral, empirical, and strategic stakes."
"What determines whether industrial policy succeeds or fails?","Economics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Economics%202024.pdf","Concrete and high-value; good answers must discuss information, state capacity, selection, and political economy."
"Who should have property rights over the data collected by large technology companies?","Economics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Economics%202024.pdf","Strong modern property-rights question with privacy, incentives, market power, and collective-data issues."
"What makes auctions work well?","Economics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Economics%202024.pdf","Excellent mechanism-design prompt: simple question, deep answer-space."
"Is devolving power to local governments desirable from an economic perspective?","Economics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Economics%202024.pdf","Good institutional-economics prompt about information, experimentation, externalities, and inequality between places."
"Do we get more economic insights from randomised controlled trials or from structural modelling?","Economics 2024","https://www.asc.ox.ac.uk/sites/default/files/2024-10/Economics%202024.pdf","Excellent methods question with real disagreement about causal identification, transportability, and theory."
"Should we select our representatives by lottery?","Politics 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/Politics%202023.pdf","Clean democratic-design prompt with serious arguments on both competence and representation."
"Is affective polarization an inevitable effect of democracy?","Politics 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/Politics%202023.pdf","Strong because it tests whether polarization is a bug, feature, or contingent failure of institutions and media."
"Does war make states?","Politics 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/Politics%202023.pdf","Classic but still alive; good answers can compare history, state capacity, coercion, and modern exceptions."
"Do we have a right to take our own lives?","Politics 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/Politics%202023.pdf","Hard, clean autonomy question with major implications for law, medicine, and paternalism."
"Is individualism a necessary element of political and economic development?","Politics 2023","https://www.asc.ox.ac.uk/sites/default/files/2023-10/Politics%202023.pdf","Good macro-social question about culture, markets, rights, family structure, and growth."
